epoch,loss,auc,val_loss,val_auc
0,0.6399071186780929,0.5138014587381675,0.6490867346525192,0.49052197802197794
1,0.5568129673600197,0.47939996299996307,0.5411236554384231,0.5059269434269433
2,0.6338610947132111,0.50229660690187,0.6175201505422592,0.5544608863358864
3,0.5762534778565168,0.5019629112207238,0.5591660112142562,0.5153446553446553
4,0.9651137590408325,0.5085556128575609,0.9717956870794296,0.49531406093906105
5,0.7233227685093879,0.4828029214105163,0.7238883942365646,0.4561498397435898
6,0.6269610598683357,0.4497667522351067,0.5971852898597717,0.5643702788439631
7,0.6983924843370914,0.49565243125369707,0.693441879749298,0.5102308802308803
8,0.6530880436301232,0.4923462452339035,0.6462533473968506,0.5112492368742368
9,0.6373850904405117,0.48698146009834314,0.6321297019720078,0.5788255604045078
